iter	Passed	Remaining
544	12893	10764
545	12916	10739
546	12943	10718
547	12965	10694
548	12987	10668
549	13009	10644
550	13029	10617
551	13049	10590
552	13071	10565
553	13093	10541
554	13116	10516
555	13139	10492
556	13162	10468
557	13183	10442
558	13204	10416
559	13225	10391
560	13247	10366
561	13270	10342
562	13292	10317
563	13314	10292
564	13339	10270
565	13361	10245
566	13384	10221
567	13409	10198
568	13429	10172
569	13453	10148
570	13474	10123
571	13496	10098
572	13519	10074
573	13540	10049
574	13564	10026
575	13586	10001
576	13607	9975
577	13628	9950
578	13651	9926
579	13674	9901
580	13696	9877
581	13718	9852
582	13745	9831
583	13768	9807
584	13794	9785
585	13815	9760
586	13836	9735
587	13859	9710
588	13881	9686
589	13904	9662
590	13927	9638
591	13948	9612
592	13968	9587
593	13989	9562
594	14011	9536
595	14032	9511
596	14054	9487
597	14077	9463
598	14099	9438
599	14121	9414
600	14142	9389
601	14167	9366
602	14194	9345
603	14216	9320
604	14239	9296
605	14261	9272
606	14281	9246
607	14303	9221
608	14325	9197
609	14346	9172
610	14370	9148
611	14392	9124
612	14415	9100
613	14438	9076
614	14461	9052
615	14486	9030
616	14512	9008
617	14532	8983
618	14552	8957
619	14577	8934
620	14600	8910
621	14623	8886
622	14645	8862
623	14670	8840
624	14693	8816
625	14715	8791
626	14736	8766
627	14756	8740
628	14776	8715
629	14799	8691
630	14821	8667
631	14845	8644
632	14868	8620
633	14891	8596
634	14914	8572
635	14941	8551
636	14964	8527
637	14988	8504
638	15012	8481
639	15034	8456
640	15055	8432
641	15077	8407
642	15102	8384
643	15122	8359
644	15144	8335
645	15166	8311
646	15188	8286
647	15212	8263
648	15236	8240
649	15260	8217
650	15282	8193
651	15305	8169
652	15326	8144
653	15347	8119
654	15370	8095
655	15393	8072
656	15416	8048
657	15439	8024
658	15463	8001
659	15487	7978
660	15511	7955
661	15532	7930
662	15552	7905
663	15572	7879
664	15592	7854
665	15613	7830
666	15634	7805
667	15657	7781
668	15677	7756
669	15698	7732
670	15722	7708
671	15743	7684
672	15765	7660
673	15789	7637
674	15814	7614
675	15836	7590
676	15858	7566
677	15879	7541
678	15902	7517
679	15925	7494
680	15946	7469
681	15969	7446
682	15992	7422
683	16014	7398
684	16036	7374
685	16058	7350
686	16082	7327
687	16104	7303
688	16126	7279
689	16146	7254
690	16167	7229
691	16187	7204
692	16208	7180
693	16235	7158
694	16259	7135
695	16282	7111
696	16305	7088
697	16328	7064
698	16350	7040
699	16373	7017
700	16396	6993
701	16419	6969
702	16443	6947
703	16464	6922
704	16489	6899
705	16511	6875
706	16534	6852
707	16555	6827
708	16575	6803
709	16596	6779
710	16620	6755
711	16647	6733
712	16669	6709
713	16689	6685
714	16711	6661
715	16734	6637
716	16757	6614
717	16780	6590
718	16802	6566
719	16825	6543
720	16848	6519
721	16870	6495
722	16893	6472
723	16914	6448
724	16937	6424
725	16958	6400
726	16982	6377
727	17010	6355
728	17033	6331
729	17057	6308
730	17080	6285
731	17102	6261
732	17123	6237
733	17145	6213
734	17167	6189
735	17189	6165
736	17212	6142
737	17240	6120
738	17263	6096
