iter	Passed	Remaining
552	129107	104359
553	129240	104045
554	129489	103825
555	129851	103694
556	130125	103493
557	130394	103287
558	130634	103059
559	130841	102803
560	131080	102574
561	131321	102346
562	131527	102091
563	131761	101858
564	131945	101586
565	132188	101360
566	132389	101101
567	132610	100858
568	132727	100536
569	132951	100296
570	133174	100055
571	133453	99857
572	133652	99597
573	133853	99340
574	134107	99122
575	134362	98906
576	134664	98723
577	134903	98493
578	135160	98277
579	135354	98015
580	135627	97810
581	135892	97599
582	136175	97401
583	136500	97232
584	136800	97046
585	137031	96810
586	137262	96574
587	137558	96384
588	137667	96063
589	137781	95746
590	138023	95519
591	138229	95266
592	138471	95038
593	138660	94774
594	138942	94574
595	139160	94330
596	139347	94065
597	139457	93749
598	139677	93507
599	139861	93240
600	140080	92998
601	140320	92769
602	140596	92564
603	140785	92303
604	141015	92068
605	141277	91853
606	141519	91626
607	141736	91382
608	141962	91144
609	142156	90887
610	142307	90601
611	142535	90365
612	142827	90169
613	143063	89938
614	143315	89718
615	143542	89481
616	143775	89248
617	143971	88992
618	144226	88772
619	144493	88560
620	144609	88255
621	144869	88039
622	145129	87822
623	145372	87596
624	145596	87358
625	145916	87177
626	146181	86963
627	146470	86762
628	146642	86493
629	146931	86292
630	147183	86070
631	147436	85848
632	147683	85623
633	147941	85404
634	148188	85179
635	148449	84961
636	148574	84666
637	148785	84420
638	148999	84176
639	149240	83947
640	149549	83757
641	149808	83537
642	150064	83317
643	150259	83062
644	150529	82849
645	150775	82623
646	151031	82402
647	151241	82156
648	151494	81933
649	151771	81722
650	152132	81557
651	152373	81328
652	152603	81092
653	152856	80868
654	153092	80636
655	153344	80412
656	153640	80210
657	153881	79980
658	154193	79787
659	154389	79534
660	154654	79315
661	154883	79079
662	155054	78813
663	155179	78524
664	155463	78316
665	155719	78093
666	155987	77876
667	156265	77665
668	156517	77439
669	156759	77209
670	157016	76987
671	157230	76743
672	157349	76453
673	157557	76207
674	157685	75922
675	157931	75695
676	158172	75464
677	158453	75253
678	158677	75015
679	158927	74789
680	159179	74564
681	159446	74345
682	159696	74119
683	159988	73913
684	160339	73732
685	160594	73508
686	160726	73227
687	160995	73009
688	161239	72779
689	161529	72571
690	161800	72353
691	162049	72126
692	162175	71843
693	162434	71621
694	162671	71388
695	162874	71140
696	163100	70903
697	163329	70666
698	163601	70449
699	163885	70236
700	164149	70015
701	164407	69791
702	164615	69546
703	164853	69313
704	165096	69083
705	165331	68849
706	165564	68614
707	165821	68389
708	166071	68162
709	166320	67933
710	166529	67689
711	166730	67441
712	166871	67169
713	167165	66959
714	167401	66726
715	167682	66510
716	167830	66242
717	168085	66016
718	168257	65758
719	168529	65539
720	168750	65300
721	168975	65062
722	169185	64819
723	169366	64565
724	169495	64291
725	169729	64057
726	169908	63803
727	170170	63580
728	170444	63361
729	170718	63142
730	170899	62889
731	171146	62660
732	171399	62433
733	171679	62216
734	171922	61985
735	172113	61736
736	172353	61504
737	172603	61276
738	172837	61042
739	173029	60794
740	173269	60562
741	173527	60336
742	173776	60108
743	173910	59840
744	174202	59626
745	174426	59389
746	174677	59161
747	174946	58939
748	175235	58723
749	175475	58491
750	175727	58263
751	175945	58024
752	176231	57807
753	176475	57576
754	176772	57363
755	176980	57120
756	177178	56874
757	177371	56627
758	177624	56399
759	177854	56164
760	178121	55941
761	178359	55708
762	178596	55475
763	178814	55236
764	178988	54983
765	179221	54749
766	179391	54495
767	179634	54264
768	179896	54039
769	180080	53790
770	180325	53559
771	180615	53342
772	180870	53114
773	180978	52843
774	181189	52603
775	181454	52378
776	181693	52146
777	181939	51915
778	182162	51678
779	182389	51443
780	182646	51215
781	182811	50962
782	182935	50698
783	183190	50470
784	183325	50210
785	183535	49970
786	183747	49730
787	183997	49501
788	184268	49278
789	184499	49044
790	184840	48839
791	185000	48585
792	185243	48354
793	185486	48123
794	185594	47857
795	185862	47633
796	186001	47375
797	186154	47121
798	186267	46858
799	186419	46604
800	186518	46338
801	186625	46074
802	186746	45814
803	186993	45585
804	187272	45364
805	187477	45124
806	187696	44888
807	187961	44664
808	188129	44416
809	188360	44183
810	188561	43943
811	188819	43716
812	188944	43459
813	189062	43201
814	189172	42940
815	189416	42711
816	189685	42487
817	189891	42249
818	190018	41994
819	190149	41740
820	190370	41505
821	190495	41250
822	190728	41019
823	190895	40773
824	191133	40543
825	191351	40308
826	191572	40074
827	191807	39844
828	192047	39614
829	192295	39385
830	192549	39158
831	192801	38931
832	193061	38705
833	193309	38476
834	193558	38248
835	193800	38018
836	193969	37774
837	194080	37519
838	194181	37262
839	194284	37006
840	194557	36783
841	194827	36559
842	195091	36333
843	195247	36088
844	195372	35837
845	195584	35602
846	195813	35371
847	196076	35145
848	196265	34907
849	196532	34682
850	196757	34449
851	197037	34227
852	197277	33997
853	197524	33768
854	197691	33526
855	197832	33280
856	197953	33030
857	198106	32786
858	198357	32559
859	198617	32333
860	198862	32104
861	199109	31876
862	199321	31641
863	199595	31417
864	199829	31187
865	200042	30953
866	200279	30723
867	200538	30496
868	200778	30266
869	201044	30041
870	201318	29816
871	201511	29579
872	201758	29350
873	201959	29115
874	202201	28885
875	202443	28656
876	202660	28423
877	202910	28194
878	203148	27964
879	203407	27737
880	203646	27507
881	203873	27275
882	204065	27039
883	204289	26807
884	204524	26576
885	204676	26335
886	204948	26109
887	205161	25876
888	205419	25648
889	205609	25412
890	205821	25179
891	206096	24953
892	206345	24724
893	206558	24491
894	206808	24262
895	207019	24029
896	207228	23795
897	207475	23566
898	207732	23338
899	207964	23107
900	208198	22876
901	208456	22648
902	208703	22418
903	208976	22192
904	209233	21963
905	209430	21729
906	209696	21501
907	209916	21269
908	210169	21040
909	210403	20809
910	210618	20576
911	210875	20347
912	211074	20113
913	211311	19882
914	211591	19656
915	211842	19426
916	212095	19197
917	212343	18967
918	212627	18740
919	212864	18509
920	213110	18279
921	213390	18052
922	213646	17823
923	213896	17593
924	214164	17364
925	214407	17134
926	214643	16902
927	214878	16671
928	215074	16437
929	215311	16206
930	215533	15974
931	215780	15743
932	216041	15514
933	216317	15285
934	216560	15055
935	216783	14822
936	217066	14594
937	217301	14363
938	217570	14133
939	217820	13903
940	218049	13671
941	218270	13439
942	218390	13200
943	218649	12970
944	218891	12739
945	219134	12508
946	219415	12279
947	219652	12048
948	219918	11818
949	220169	11587
950	220424	11357
951	220668	11126
952	220953	10896
953	221167	10664
954	221421	10433
955	221650	10201
956	221844	9967
957	222081	9736
958	222201	9499
959	222488	9270
960	222640	9035
961	222932	8806
962	223154	8573
963	223340	8340
964	223563	8108
965	223771	7876
966	224025	7645
967	224240	7412
968	224494	7181
969	224780	6951
970	225041	6721
971	225281	6489
972	225524	6258
973	225744	6026
974	226001	5794
975	226298	5564
976	226550	5333
977	226815	5102
978	227038	4870
979	227281	4638
980	227543	4407
981	227791	4175
982	228060	3944
983	228264	3711
984	228520	3480
